# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
301000000 308.74219294514773537 5207.9880649674450979 -1159.8577012741579892 -2355.8423221169405224 -1084.4350769832162769 2280.41969782599881 5944
302000000 315.06489177461361351 5314.6419036544430128 -1076.3740959991616819 -2360.8667497891988205 -1024.6168218832633556 2309.109475673300949 5928
303000000 309.21042871112064176 5215.8864550692833291 -1195.3568507461175159 -2344.8044967024629841 -1101.1908568112253306 2250.6385027675705715 5934
304000000 306.45735084403071369 5169.4464251629151477 -1104.9421142450669322 -2404.0104522568726679 -1015.3085455846297691 2314.3768835964356185 5920
305000000 310.46477469584874598 5237.0452699869592834 -1190.896991752847498 -2344.4607134887369284 -1078.7591774991960847 2232.3228992350850604 5935
306000000 310.01192532811245428 5229.4064238678029142 -1055.9587250914391916 -2372.8861510314927727 -987.85774860969013389 2304.785174549743715 5924
307000000 315.47435208706127696 5321.5488456566463356 -1144.7878626817569057 -2353.0901798714940014 -1073.3672771530186765 2281.6695943427557722 5917
308000000 314.19956024059831634 5300.0451416816076744 -1070.6704702657402777 -2349.8496320221165661 -1047.3612817475989232 2326.5404435039754389 5923
309000000 311.01287926688900143 5246.2909193654968476 -1154.866026977675574 -2352.0353682395707438 -1081.2332297053533239 2278.4025709672482662 5929
310000000 315.8150586318704427 5327.2960213247861248 -1173.7711877632737014 -2363.308300499111283 -1109.0896006627685892 2298.6267133986061708 5926
311000000 309.94667422949339652 5228.3057419700935498 -1030.5359282592298769 -2356.9840845397893645 -968.99426728970843214 2295.4424235702681472 5910
312000000 314.17529042187879895 5299.6357485726693994 -1194.0624227053033337 -2396.7258486619020914 -1086.2409970258581779 2288.904422982457163 5921
313000000 314.39993955879219811 5303.4252209887645222 -1036.1613774798995564 -2319.4810836646975076 -976.52106660005074446 2259.8407727848484683 5930
314000000 311.65943585837038654 5257.1972972066341754 -1127.4518700089827234 -2390.4232839006658651 -1036.5190186068816729 2299.4904324985645871 5928
315000000 315.31037798239941594 5318.7828642017102538 -1281.3313247033338484 -2436.1377273233701999 -1113.5821753740747226 2268.3885779941110741 5941
316000000 307.38663282848170866 5185.121929174347315 -1167.9116326821681469 -2375.0326815127073132 -1091.9005922929648023 2299.0216411235037413 5927
317000000 313.10870153480948375 5281.6440962458664217 -1021.2604444729420266 -2313.7930232319895367 -1023.1270505716636308 2315.6596293307111409 5920
318000000 308.79041532039798312 5208.8014994785235103 -1125.6161884195405491 -2305.3299842172764329 -1095.8575169180799094 2275.571312715815111 5929
319000000 306.70829934800042338 5173.6795259293785421 -1230.9185520965816067 -2351.7865777624801922 -1119.569240580521182 2240.4372662464193127 5939
320000000 305.40602655007222666 5151.71226216071409 -1224.7930427162377782 -2409.1226515732187181 -1107.9342805665478409 2292.2638894235287808 5943
321000000 307.52899106398768936 5187.5232854139740084 -1236.8010426566870592 -2396.7770456136868233 -1097.3734238054194066 2257.3494267624191707 5931
322000000 311.31007620517749501 5251.304157409790605 -1258.8080759503895933 -2425.5879842447375268 -1121.9086796321960264 2288.6885879265437325 5954
323000000 311.01743648668860942 5246.3677923905261196 -1255.3161266051854454 -2439.5798822620718056 -1072.7322885496289473 2256.9960442065157622 5925
324000000 313.81055096185053799 5293.4831759795633843 -1172.7751265978711217 -2365.2260792200809192 -1089.526075562447204 2281.9770281846567741 5931
325000000 311.16439104420487638 5248.8466812470724108 -1174.4508544997083845 -2394.7157816094154441 -1115.285865621598532 2335.5507927313055916 5938
326000000 310.90263638899699572 5244.4312979550495584 -1106.2640293692008981 -2340.7895078279416339 -1049.7617668577458971 2284.2872453164868602 5938
327000000 309.41960036237560416 5219.4148470032578189 -1244.5562221680088442 -2448.6234365305544998 -1084.8982420384545549 2288.9654564010006652 5936
328000000 313.32445208912076851 5285.283463774951997 -1308.0818961315746947 -2422.2006610484991143 -1134.080183213577584 2248.1989481305022309 5944
329000000 312.01440036937941613 5263.1849820098914279 -1286.4588138628737397 -2453.5645929756901751 -1115.1774409035326698 2282.2832200163493326 5934
330000000 312.64036405367465932 5273.7439903715767286 -1266.6019778545232839 -2470.3011774111519117 -1086.6996699100204751 2290.3988694666495576 5930
331000000 309.58443900015606687 5222.1954117521736407 -1233.1567642495219843 -2460.916757981444789 -1075.0313949524118016 2302.7913886843348337 5935
332000000 308.21835928282752093 5199.1518270844144354 -1244.8346529712307529 -2402.2715329405345983 -1112.6560474544712633 2270.0929274237751088 5955
333000000 319.7464741768230283 5393.6127273157235322 -1247.0815582345614985 -2415.5693894213682142 -1081.5794652825550202 2250.0672964693612812 5934
334000000 309.57985311832601383 5222.1180552444329805 -1333.1774626937583434 -2423.3958107077733075 -1169.2803613259238773 2259.4987093399390687 5941
335000000 307.76836267141646886 5191.5611024116742556 -1298.9569048703997396 -2398.5957496929795525 -1199.9354364317619002 2299.5742812543421678 5946
336000000 314.57994686184360944 5306.4616569127174444 -1230.6029069880410134 -2402.2948048983607805 -1107.6256776389961942 2279.317575549315734 5932
337000000 310.2447570775668737 5233.3339238986127384 -1333.8926230507686341 -2496.1881435305162995 -1099.3912962355511809 2261.6868167152988462 5943
338000000 311.03791604811203797 5246.7132499078534238 -1135.7837403215146423 -2408.3251656293696215 -1042.7347705827010031 2315.2761958905557549 5939
339000000 304.84445159621338917 5142.2393889217746619 -1219.7634879752026791 -2428.9697393273891066 -1051.6927553725374764 2260.8990067247241313 5940
340000000 313.20561626217158846 5283.2788930276301471 -1193.5145923707050315 -2465.1070043979580078 -1067.0942334909484543 2338.6866455182012032 5929
