# d_x d_y d_z
7.3937e-01 1.5503e-01 4.6024e-01
4.3748e-02 3.7690e-01 1.0323e+00
1.4195e-01 2.8669e-01 1.4407e+00
6.7511e-01 5.3932e-02 1.0618e+00
1.2626e-01 5.5359e-01 1.1070e+00
1.2033e-01 7.6750e-02 1.2319e+00
4.0206e-01 4.0823e-01 9.8420e-01
nan nan nan
1.7185e-01 3.9325e-01 1.0953e+00
2.7713e-01 6.2813e-01 1.8663e+00
6.4266e-02 6.1060e-01 1.2695e+00
2.0005e-01 6.2575e-01 1.3860e+00
1.0520e-01 4.4171e-01 5.0225e-01
2.4028e-01 1.1614e-01 2.9732e-01
2.2540e-01 8.6748e-01 7.2143e-01
1.7827e-01 3.3914e-01 1.0427e+00
3.8411e-01 2.3918e-02 6.0989e-01
2.7736e-01 2.5134e-01 1.1085e+00
3.1486e-01 5.8524e-02 1.3697e+00
3.4029e-01 4.1586e-02 9.8921e-01
2.6097e-01 1.6298e-01 1.1945e+00
2.2415e-01 3.6101e-01 6.4498e-01
2.2153e-01 2.8579e-01 2.5017e-01
1.7434e-01 6.5632e-01 8.3497e-01
nan nan nan
4.5228e-02 5.3678e-01 8.4452e-01
7.8726e-01 1.5969e-01 4.9673e-01
6.7633e-01 3.6104e-01 8.3033e-01
2.2043e-01 6.0409e-01 1.1365e+00
9.9808e-01 2.0032e-02 1.3293e+00
3.1859e-01 6.1291e-01 7.6753e-01
1.1642e-01 6.9393e-01 1.4036e+00
7.5112e-01 1.0044e-01 1.4571e+00
3.4887e-01 4.4569e-01 3.3686e-01
8.0083e-01 1.6120e-02 1.1837e+00
3.3468e-01 5.6316e-01 1.1811e-01
3.2928e-01 4.2956e-04 3.7737e-01
2.3316e-01 8.2413e-02 9.9662e-01
5.5855e-01 1.7622e-01 6.2667e-01
6.2886e-02 5.4565e-01 4.6425e-02
5.0349e-01 3.1972e-01 9.6277e-01
3.7417e-01 4.5242e-01 5.4661e-01
5.7337e-01 1.1827e-01 1.2021e+00
8.0006e-02 3.2007e-02 8.4617e-01
6.5600e-02 2.1256e-01 6.5259e-01
nan nan nan
7.9291e-01 2.3263e-01 1.2868e+00
5.4306e-01 4.5122e-01 1.0773e+00
8.2790e-01 7.2393e-01 6.0874e-01
4.8907e-01 7.2774e-02 9.9647e-01
4.8589e-01 7.6605e-01 9.0319e-01
1.0949e-01 7.9125e-01 1.0164e+00
4.2640e-01 5.4018e-01 1.5304e+00
7.2714e-01 4.5977e-01 6.3298e-01
5.2913e-02 8.5400e-01 1.2947e+00
4.7046e-01 6.9412e-02 4.5432e-01
5.3474e-02 2.4439e-01 1.5107e+00
5.0894e-02 1.3040e-01 4.4134e-01
1.5218e-01 4.8692e-02 7.3721e-01
1.3088e-01 3.0613e-01 4.8708e-01
8.0778e-01 8.9484e-02 9.2926e-01
1.0289e-01 2.8969e-01 7.2610e-01
2.3109e-01 1.3386e-01 7.7261e-01
6.2382e-01 2.4868e-01 1.4658e+00
7.3648e-02 6.8992e-01 1.1514e+00
2.0771e-01 1.5850e-01 8.1349e-01
4.9992e-01 3.4621e-01 1.0950e+00
nan nan nan
2.5752e-01 2.4099e-01 1.4908e+00
4.1890e-02 5.5854e-01 1.3172e+00
1.0560e-02 6.4529e-01 1.0886e+00
3.4021e-01 5.9223e-01 9.7975e-01
2.6998e-01 3.8035e-01 7.2847e-01
2.6685e-01 1.0169e-01 2.1402e-01
4.3652e-01 9.9026e-01 5.3088e-01
2.7845e-01 5.6780e-01 9.4914e-01
3.4963e-01 6.0851e-02 3.2586e-01
2.2076e-01 3.1427e-01 2.0779e-01
3.1793e-01 6.2725e-02 1.8438e+00
2.6389e-01 8.2341e-03 8.8226e-01
2.0721e-02 7.6540e-02 6.0476e-01
3.4413e-01 4.4221e-01 9.5716e-01
3.9078e-01 4.1131e-01 6.0509e-02
7.5440e-02 7.2407e-01 5.1765e-01
nan nan nan
1.4390e-01 2.4458e-01 1.2600e+00
7.8848e-01 9.0032e-02 5.4943e-02
7.5493e-01 7.5366e-02 1.0114e+00
3.3547e-01 1.7251e-01 1.4015e+00
8.3358e-01 2.3539e-01 1.1579e+00
6.4202e-02 6.7925e-01 9.4059e-01
4.2455e-01 6.4091e-01 1.3893e+00
6.3859e-01 1.6955e-01 7.5266e-01
3.3665e-01 5.5543e-01 2.4405e-01
7.1814e-01 3.3849e-01 1.0592e+00
4.1641e-01 6.3133e-01 7.5867e-01
6.2032e-01 7.0571e-02 9.7399e-01
4.1393e-01 1.8336e-02 1.3968e+00
4.8725e-01 1.8920e-01 1.0314e+00
7.8393e-02 4.4517e-01 5.4456e-01
4.0616e-01 6.4433e-02 1.2075e+00
2.1321e-01 4.8834e-01 4.7832e-01
4.5626e-01 4.0407e-01 2.4152e-01
6.4180e-02 1.2697e-01 6.5892e-01
1.2977e-01 1.4695e-01 9.6931e-01
nan nan nan
8.9679e-01 9.7337e-02 9.5120e-01
3.3618e-01 2.7521e-01 1.9443e+00
8.0339e-01 6.6853e-01 6.9815e-01
6.3677e-01 1.8850e-01 4.7582e-01
4.1338e-01 6.4255e-01 9.3993e-01
2.1623e-01 7.2621e-01 5.9505e-01
3.4651e-01 5.9128e-01 1.0745e+00
9.8848e-01 3.8283e-01 7.2013e-01
1.1435e-01 9.1096e-01 7.7493e-01
4.4585e-01 3.2052e-01 1.9585e-01
7.0476e-02 3.7468e-01 1.2976e+00
3.4467e-02 1.9282e-01 2.8474e-01
1.5786e-01 1.9404e-01 1.2105e+00
5.4497e-02 1.3760e-01 2.1268e-01
9.9080e-01 3.1812e-02 7.9586e-01
6.8951e-02 2.5116e-01 1.0627e+00
5.3161e-02 1.9789e-01 6.0667e-01
6.1067e-01 3.6392e-01 9.3367e-01
1.2515e-01 6.4569e-01 1.2511e+00
1.4586e-01 2.2808e-01 7.6958e-01
4.8213e-01 3.0686e-01 1.0497e+00
nan nan nan
4.3079e-01 1.2507e-01 1.2684e+00
1.1746e-01 4.8898e-01 1.2387e+00
1.9294e-01 5.0759e-01 1.3571e+00
2.9497e-01 5.8358e-01 1.1946e+00
2.6231e-01 4.6140e-01 7.7813e-01
7.9627e-02 1.5916e-01 6.7524e-01
nan nan nan
3.3006e-01 4.4387e-01 1.1964e+00
3.7672e-01 6.0586e-02 7.5504e-01
2.4387e-01 1.2398e-01 1.1635e+00
3.5644e-01 2.9548e-02 1.2570e+00
1.7294e-01 6.9143e-02 8.3787e-01
1.4562e-01 3.0056e-01 7.8589e-01
3.6645e-01 4.3494e-01 8.3045e-01
1.6966e-01 3.3219e-01 9.9012e-01
2.0835e-01 8.5091e-01 3.7586e-01
nan nan nan
3.0067e-02 1.1421e-01 1.1873e+00
6.3700e-01 1.3559e-01 2.3282e-01
7.0908e-01 4.5095e-01 1.2402e+00
1.6785e-01 2.9957e-01 1.3954e+00
1.0245e+00 2.3302e-01 1.0536e+00
2.2764e-01 4.8413e-01 9.1605e-01
4.2058e-01 5.5272e-01 2.6671e-01
6.4634e-01 3.4647e-02 9.0812e-01
3.1758e-01 4.9262e-01 3.1651e-01
5.6528e-01 5.5309e-02 9.8304e-01
4.9248e-01 6.6983e-01 2.8116e-01
6.8892e-01 1.3332e-01 8.7378e-01
2.0336e-01 7.5115e-02 1.1769e+00
6.2431e-01 1.8523e-01 1.2377e+00
1.2228e-01 3.0193e-01 1.0918e+00
4.7875e-01 1.6169e-01 8.6486e-01
1.9884e-01 6.9846e-01 5.9818e-01
5.6921e-01 3.7215e-01 5.3726e-01
7.2297e-02 4.6005e-02 1.2564e+00
3.4615e-01 1.0541e-01 9.6547e-01
nan nan nan
9.0038e-01 4.5534e-02 1.0896e+00
3.2738e-01 2.3540e-01 9.0636e-01
6.5600e-01 5.5635e-01 7.1584e-01
7.7717e-01 7.1263e-02 4.4351e-01
3.9392e-01 3.2262e-01 1.2586e+00
2.8143e-02 8.8438e-01 3.5299e-01
4.6854e-01 5.5162e-01 1.0939e+00
