# d_x d_y d_z
7.7514e-02 1.9076e-01 1.1942e+00
3.1604e-01 6.0887e-01 9.6339e-01
8.5358e-02 1.5148e-01 6.6616e-01
3.6805e-02 6.7296e-02 5.2940e-01
2.4745e-01 7.3992e-02 8.6193e-01
4.9199e-01 4.2698e-01 9.9819e-01
8.1389e-01 1.4891e-01 1.0008e+00
1.1152e-01 3.3534e-01 1.3152e+00
3.4945e-01 1.7971e-01 3.2342e-01
3.1346e-01 9.1126e-01 4.8245e-01
7.6268e-01 5.6547e-01 4.3279e-01
3.6539e-01 4.4705e-01 1.3045e+00
5.7794e-01 2.2188e-02 6.2686e-01
3.8750e-01 5.4346e-01 5.8266e-01
3.1031e-01 3.2946e-01 6.4715e-01
3.8842e-01 2.9062e-01 3.0865e-01
3.9144e-01 2.8670e-02 1.3800e+00
1.7672e-01 3.7705e-01 1.1149e+00
7.4293e-02 1.1272e-01 7.6586e-01
1.3683e-01 1.2637e-01 1.0278e+00
1.4925e-02 3.0250e-01 3.8817e-01
3.9964e-01 2.2192e-01 1.2526e+00
3.9869e-01 5.3851e-01 5.4500e-01
1.8878e-01 2.6944e-01 9.9468e-01
5.4234e-01 1.5016e-01 1.1344e+00
2.4002e-01 2.1491e-01 4.8101e-01
6.3162e-01 9.5772e-02 3.9183e-01
7.7434e-02 7.7208e-01 9.7591e-01
3.5319e-01 1.7455e-01 9.5393e-01
4.1571e-01 2.0211e-01 1.0340e+00
2.5934e-01 3.3017e-01 1.0036e+00
4.6044e-01 5.9020e-01 9.6221e-01
5.7991e-01 1.8467e-01 1.0086e+00
1.6207e-01 5.2686e-01 1.3308e+00
2.0911e-01 1.3142e-01 1.1143e+00
1.6169e-01 7.4221e-02 8.5555e-01
3.8003e-01 7.3670e-01 5.2564e-01
1.9115e-01 1.4181e-01 8.8727e-01
4.2480e-01 1.3097e-01 9.8711e-01
2.5397e-01 4.8246e-02 5.2149e-01
3.9081e-01 3.0004e-01 5.8711e-01
5.7429e-01 3.2056e-01 9.7667e-01
2.2134e-01 4.6418e-01 5.1861e-01
8.3665e-02 3.1150e-01 8.3278e-01
4.7045e-01 2.9377e-01 9.5917e-01
8.1732e-01 3.0544e-01 5.0845e-01
2.9978e-01 1.6029e-01 6.0677e-01
8.4025e-01 3.9299e-02 1.2569e+00
1.8625e-02 5.6775e-01 9.4433e-01
1.4244e-01 2.3264e-01 9.0354e-01
1.6514e-01 8.3892e-02 9.4527e-01
2.5681e-02 7.0547e-02 1.0901e+00
1.0476e-01 5.1956e-01 4.5583e-01
5.3237e-02 3.8054e-01 1.0925e+00
6.1167e-02 9.8002e-02 1.0388e+00
3.2005e-01 5.3099e-01 7.8806e-01
8.1276e-01 2.9324e-01 1.1350e+00
7.6165e-01 2.9769e-01 7.8476e-01
2.6470e-02 2.4321e-01 7.8875e-01
6.9646e-01 3.2372e-01 8.1987e-01
7.0706e-01 2.0433e-02 8.6253e-01
3.9509e-02 3.6608e-01 1.0566e+00
6.9368e-02 4.1372e-01 7.2457e-01
2.2495e-01 4.7735e-01 8.4460e-01
6.8240e-01 6.4334e-02 8.1698e-01
1.0018e-01 6.0309e-01 7.0227e-01
5.8496e-01 2.4045e-01 7.7596e-01
4.3501e-01 6.4255e-02 9.9643e-01
9.3390e-01 2.5146e-01 1.0037e+00
6.3704e-01 2.9591e-01 7.1538e-01
9.7738e-03 7.4632e-01 1.0225e+00
3.4539e-01 6.7101e-02 9.5405e-01
