# d_x d_y d_z
9.1219e-01 2.4952e-01 3.8153e-01
2.5128e-01 5.9255e-01 2.1185e-01
8.5528e-01 5.9920e-01 3.9941e-01
1.9466e-01 6.0284e-01 4.9598e-01
3.3362e-01 4.3390e-01 1.1644e+00
4.7883e-01 2.2309e-01 7.9700e-01
6.2184e-01 3.9490e-01 7.0229e-01
5.4456e-01 9.0861e-02 6.8952e-01
2.2296e-02 1.9177e-01 8.3040e-01
3.1622e-01 8.5942e-01 5.5596e-01
4.9665e-01 2.0006e-02 2.0400e-01
1.4596e-01 6.5668e-01 6.1089e-01
4.7468e-03 1.2746e-01 3.6776e-01
8.9692e-01 2.4909e-01 7.0236e-01
8.1850e-01 4.5181e-01 3.0040e-01
1.7911e-01 6.0497e-01 8.0710e-01
4.6507e-01 1.3883e-01 4.0239e-01
1.4486e-01 6.3828e-01 5.1154e-01
3.7193e-01 8.2575e-01 4.8274e-01
5.2348e-03 6.1939e-01 4.0613e-01
3.1797e-02 2.4459e-01 9.6373e-01
7.9692e-01 2.8631e-02 1.1565e+00
1.5289e-01 1.6500e-01 8.6977e-01
4.9798e-01 1.5149e-01 3.9400e-01
7.2907e-01 3.8919e-02 8.4166e-01
2.1305e-01 4.0231e-01 1.1056e+00
2.5067e-01 1.5018e-02 9.1001e-01
5.4217e-01 4.5702e-02 1.1431e+00
5.4038e-01 2.4501e-01 6.8473e-01
4.3171e-02 4.9705e-01 9.0058e-01
4.9278e-01 5.0586e-01 8.0208e-01
1.6841e-01 8.9638e-02 2.6363e-01
3.3118e-01 2.1408e-01 4.9710e-01
6.6788e-02 5.5761e-01 5.2470e-01
1.2207e-01 4.3506e-01 6.9222e-01
1.0092e-01 5.4328e-01 9.7419e-01
3.8063e-01 9.8547e-02 5.6015e-01
1.7661e-01 3.0607e-01 5.0598e-01
9.6567e-02 1.9131e-01 9.4126e-01
9.3989e-01 4.4646e-02 3.3141e-01
5.4352e-02 3.1736e-01 1.0310e+00
2.9154e-01 5.3789e-02 1.3053e+00
3.0869e-02 3.6492e-01 6.3730e-01
3.5956e-01 9.7724e-02 1.0536e+00
7.1602e-02 6.1157e-01 7.0675e-01
4.9140e-01 4.0308e-01 8.4350e-01
2.1251e-01 3.9287e-01 1.2097e+00
3.6021e-01 1.1415e-01 8.2760e-01
3.9004e-01 2.4445e-02 8.5223e-01
4.8176e-01 3.1350e-01 9.4850e-01
1.3581e-02 3.2948e-01 3.7782e-01
1.4944e-02 6.6733e-02 8.5841e-01
2.5980e-01 1.2654e-01 1.0532e+00
2.8903e-01 3.9876e-01 6.2367e-01
4.1632e-01 1.6895e-01 7.3533e-01
9.4745e-01 7.0832e-01 6.8714e-01
4.9274e-01 5.1548e-01 3.8324e-01
6.7268e-01 7.6159e-02 1.3897e+00
3.5070e-01 7.3536e-01 7.6641e-01
3.8143e-01 5.0496e-01 5.2526e-01
nan nan nan
3.6777e-01 5.0428e-01 1.1687e+00
3.5754e-01 7.9262e-01 3.9507e-01
6.4805e-01 1.2450e-01 2.3811e-01
5.5875e-01 1.7534e-01 2.2574e-01
1.1241e-01 5.3767e-01 2.3259e-01
4.5831e-01 5.4958e-01 5.2737e-01
8.1155e-01 2.8274e-01 2.8555e-01
3.0940e-02 1.8255e-01 9.1180e-01
6.6178e-01 1.0308e-01 7.8259e-01
2.9568e-01 4.7884e-01 4.3739e-01
3.2984e-02 7.3613e-02 1.1406e+00
5.7476e-01 1.1505e-02 4.7267e-01
2.1074e-02 7.2676e-01 1.5832e+00
5.0493e-02 7.1709e-01 9.6818e-01
1.4476e-01 5.4775e-01 1.9173e-01
4.1654e-01 7.5517e-01 6.8546e-01
5.5846e-01 4.7793e-01 5.0485e-01
1.0723e-01 4.5719e-01 5.9172e-01
5.8917e-01 1.8633e-01 6.7181e-01
8.8661e-02 8.5272e-02 1.2975e+00
2.2437e-01 2.5304e-01 4.6578e-01
1.4830e-01 4.6275e-01 9.0327e-01
2.5835e-01 3.3227e-01 7.4413e-01
5.6937e-02 3.5730e-01 4.2307e-01
5.9764e-01 3.1705e-01 8.3430e-01
3.6945e-01 1.8416e-01 7.9996e-01
4.8231e-01 4.2181e-01 5.4383e-01
6.2766e-01 7.1804e-02 6.1798e-01
1.6570e-01 3.0978e-01 7.0075e-01
2.1308e-01 3.1252e-01 3.7605e-01
1.8141e-01 7.7982e-01 1.1959e+00
4.9625e-01 1.3779e-01 4.9094e-01
2.1339e-01 2.2600e-01 1.0723e+00
1.4251e-01 4.6046e-01 7.3720e-01
8.1016e-01 2.8608e-01 1.0333e+00
1.4361e-01 7.6800e-01 9.5146e-01
6.4088e-01 2.9640e-01 3.9849e-01
1.8058e-01 8.8003e-02 2.7606e-01
7.8511e-01 2.7010e-01 2.7195e-01
2.6083e-01 4.4802e-01 1.1037e+00
2.7468e-01 5.0574e-01 5.5458e-01
6.6574e-01 3.2448e-02 3.9042e-01
5.3431e-01 6.5042e-01 6.9081e-01
3.1683e-02 5.9868e-01 1.4308e+00
4.2381e-01 6.1417e-01 4.0368e-01
2.1660e-01 5.9111e-01 3.1054e-01
3.3230e-01 6.7109e-02 3.2640e-01
2.1406e-01 1.9248e-01 7.7595e-01
7.7597e-01 4.7803e-01 5.0708e-01
1.8382e-01 4.5126e-01 4.7559e-01
4.4817e-01 3.4707e-01 4.3906e-01
5.0002e-01 5.2372e-01 4.1860e-01
4.7186e-01 3.9049e-01 6.0155e-01
2.3509e-01 7.6447e-01 8.8177e-01
5.7066e-01 2.5865e-01 8.5619e-01
5.5994e-01 5.6516e-01 5.3710e-01
4.8030e-01 4.4298e-01 7.8744e-01
3.2865e-01 2.9569e-01 1.1125e+00
6.8037e-02 3.2733e-01 1.1185e+00
2.6680e-01 7.5230e-01 1.1567e+00
1.3353e-01 1.1292e-01 5.0470e-01
2.1406e-01 7.7001e-01 3.4407e-01
1.1801e-01 3.6032e-01 3.5775e-01
5.3289e-01 1.3694e-01 5.0696e-01
nan nan nan
6.4223e-01 2.5096e-01 6.0459e-01
nan nan nan
8.9602e-01 3.5866e-01 8.5553e-01
3.7112e-01 6.5825e-01 4.1550e-01
2.7774e-01 5.8831e-01 8.8689e-01
5.0494e-02 1.8806e-01 5.3221e-01
4.6088e-01 3.4875e-01 5.9510e-01
5.5420e-01 2.1183e-01 7.5850e-01
2.0385e-01 3.3190e-01 5.9818e-01
5.2368e-01 3.8608e-01 3.2724e-01
2.1240e-03 2.4116e-01 5.6139e-01
1.5209e-01 4.1965e-01 6.3805e-01
3.8406e-03 7.3227e-01 6.0668e-01
5.0614e-01 3.7526e-01 7.7492e-01
nan nan nan
4.5232e-01 6.0137e-01 6.3305e-01
1.4174e-01 2.4972e-01 3.8697e-01
2.0463e-01 1.1301e-01 6.4245e-01
8.3170e-01 4.9336e-01 6.9943e-01
2.8601e-03 6.8393e-01 7.3630e-01
3.1972e-01 1.6919e-01 1.1621e+00
7.2765e-01 1.1442e-01 9.6581e-01
3.4474e-01 2.1825e-01 2.1308e-01
1.1948e-01 6.3328e-01 7.2277e-01
1.6927e-01 1.1082e-01 9.6698e-01
3.7152e-01 4.1043e-01 5.1552e-01
5.3688e-01 3.0238e-02 7.7197e-01
9.0586e-02 1.7197e-02 3.5714e-01
nan nan nan
2.6724e-01 8.0828e-02 1.0237e+00
2.8659e-01 3.9321e-01 7.8468e-01
1.2223e-01 7.3378e-01 4.4003e-01
6.5427e-02 4.4424e-01 1.0723e+00
2.8064e-01 7.3933e-01 7.6770e-01
4.3175e-01 1.1402e-01 7.3353e-01
6.7082e-01 3.8185e-01 7.5035e-01
7.9889e-01 1.5709e-01 1.1671e+00
7.9162e-01 3.8243e-01 8.4108e-01
4.2440e-01 4.0148e-01 8.3954e-01
1.7165e-01 3.3437e-01 9.3344e-01
3.8353e-01 2.5569e-01 5.7286e-01
4.3985e-01 1.1443e-01 4.2690e-01
1.1883e-01 2.2228e-01 4.4438e-01
3.7107e-01 2.0297e-01 7.5969e-01
2.4325e-01 1.2781e-01 7.5247e-01
1.4491e-01 2.9653e-02 5.7224e-01
1.2994e-01 3.5742e-01 4.2675e-01
5.7208e-01 4.2434e-01 7.1742e-01
5.7010e-01 1.4291e-02 8.9378e-01
8.5866e-01 1.5981e-01 7.4259e-01
2.9118e-01 5.8001e-01 1.1192e+00
1.2772e-01 1.4703e-01 6.3998e-01
3.2239e-01 2.7505e-01 7.2793e-01
7.7272e-01 1.5605e-01 9.3398e-01
9.1723e-02 5.1715e-01 3.5125e-01
2.6502e-01 5.3175e-01 3.8992e-01
4.6840e-01 6.7074e-03 9.6244e-01
nan nan nan
2.6916e-01 2.1526e-01 2.6268e-01
4.8196e-01 2.5035e-02 7.9458e-01
2.6768e-01 2.8071e-01 7.8764e-01
1.6128e-01 7.2991e-02 5.2395e-01
3.2398e-01 6.3617e-02 4.1533e-01
5.7441e-01 4.5568e-01 8.4300e-01
2.8655e-01 5.4885e-02 6.7137e-01
3.9581e-01 7.7107e-01 9.3853e-01
2.7235e-01 2.0488e-01 4.2434e-01
4.1321e-01 5.6800e-01 2.3840e-01
4.1092e-01 2.6616e-01 6.1570e-01
7.8345e-01 2.7355e-01 6.9686e-01
7.2873e-01 1.2017e-01 9.3606e-01
8.0362e-01 2.8725e-01 6.0303e-01
4.0699e-01 5.3373e-01 4.6124e-01
5.2609e-01 1.1384e-01 6.8091e-01
1.8629e-01 1.9407e-01 1.0398e+00
2.6432e-01 4.7715e-01 7.1339e-01
4.9215e-01 3.2416e-01 3.3665e-01
7.2910e-01 2.0963e-01 3.4193e-01
nan nan nan
2.4869e-01 4.9001e-01 9.4837e-01
3.7234e-02 7.4742e-01 5.4990e-01
1.9268e-01 4.6708e-01 1.4253e+00
4.8771e-01 8.3468e-01 8.5695e-01
3.5730e-01 3.9073e-01 9.1864e-01
3.9223e-01 2.5592e-01 7.3924e-01
1.3771e-01 2.2545e-01 1.1350e+00
1.3090e-01 9.2491e-01 7.9933e-01
2.9639e-01 1.9001e-01 1.1250e+00
1.0121e-01 3.2501e-03 4.9777e-01
6.6620e-01 1.9086e-01 7.0559e-01
4.8258e-01 3.8011e-01 4.6946e-01
2.7261e-01 8.9353e-04 5.5838e-01
1.2846e-01 6.8475e-01 2.7804e-01
1.2705e-01 4.0723e-01 9.3164e-01
2.4601e-02 4.0770e-01 7.1363e-01
6.4874e-01 4.3691e-01 4.5463e-01
7.0315e-01 1.9495e-01 9.7235e-01
2.0396e-01 8.2290e-01 7.7497e-01
nan nan nan
6.6336e-02 1.3666e-01 7.0076e-01
2.1074e-01 2.4788e-01 3.6226e-01
3.4669e-01 3.5406e-01 4.7988e-01
2.1057e-01 4.6585e-01 5.5113e-01
2.7877e-03 7.5818e-02 1.0773e+00
3.0788e-02 4.7388e-01 6.6575e-01
1.9453e-01 6.1621e-01 9.1389e-01
8.3532e-01 1.4496e-01 7.6948e-01
nan nan nan
4.2983e-01 3.6530e-01 9.7436e-01
9.1314e-01 1.4994e-01 6.1959e-01
6.6398e-02 2.5901e-01 3.5534e-01
1.3288e-02 5.9237e-01 4.2156e-01
1.4805e-01 1.6714e-01 8.0877e-01
8.9736e-03 5.4208e-02 8.3609e-01
8.4516e-01 2.5875e-01 8.7098e-01
1.6179e-01 6.2602e-01 6.1390e-01
7.4204e-01 5.1386e-01 5.4607e-01
3.2028e-01 6.4500e-01 2.5964e-01
3.2731e-01 3.8523e-01 4.2069e-01
3.2321e-01 5.2604e-01 8.4085e-01
6.2726e-01 2.9005e-01 5.2160e-01
6.6490e-01 2.7334e-02 4.3669e-01
2.2605e-03 2.3352e-01 7.3776e-01
3.2748e-01 7.9676e-01 8.0719e-01
5.2346e-01 9.5279e-02 7.8545e-01
1.4251e-01 7.8011e-01 5.2603e-01
1.4879e-02 3.2457e-02 5.7264e-01
9.5671e-01 2.1229e-01 1.0419e+00
7.3747e-01 3.9529e-01 8.2757e-01
4.3448e-02 8.2260e-01 7.9555e-01
2.4322e-01 3.6430e-01 5.5366e-01
1.7130e-01 4.3128e-01 1.1708e+00
3.2506e-01 8.0481e-01 3.5753e-01
4.9143e-02 5.6722e-01 9.2417e-01
9.3885e-02 2.3698e-01 3.3456e-01
7.6268e-01 7.5008e-02 5.9862e-01
1.2521e-01 2.3940e-02 1.3587e+00
3.4464e-01 2.7063e-01 9.1147e-01
7.6917e-01 2.9110e-02 6.3291e-01
2.0058e-01 2.0603e-01 9.0768e-01
1.2593e-01 2.1474e-01 6.5430e-01
6.5903e-01 3.9620e-01 1.2113e+00
5.9924e-01 4.1043e-01 6.4473e-01
8.5970e-02 4.6782e-01 8.5963e-01
6.7393e-01 4.5618e-01 7.5881e-01
1.2856e-01 5.7338e-02 4.9371e-01
2.3654e-01 6.6038e-02 4.0870e-01
4.6154e-02 3.4808e-01 6.3568e-01
2.9710e-02 3.0719e-01 6.3536e-01
1.5884e-01 3.8706e-01 8.9813e-01
4.3490e-01 7.2552e-02 5.7095e-01
1.8830e-01 8.6708e-02 6.1999e-01
2.0255e-01 8.6356e-02 5.4295e-01
7.3131e-01 4.8623e-02 5.3712e-01
1.6105e-01 3.7465e-01 1.4437e+00
3.3430e-01 1.3790e-01 9.3590e-01
7.8574e-02 9.1376e-02 9.1681e-01
2.8683e-01 1.2211e-02 9.4530e-01
1.6196e-01 6.9542e-01 7.8134e-01
4.1289e-01 4.5404e-01 6.5940e-01
2.9752e-01 4.6460e-01 1.4837e+00
4.0482e-01 5.7571e-02 6.1748e-01
3.4820e-01 1.0381e-01 8.2543e-01
5.0401e-01 4.9340e-01 7.3176e-01
3.3728e-02 1.2567e-01 8.3824e-01
4.4891e-02 2.2700e-02 1.0934e+00
3.7445e-01 2.3869e-01 5.3747e-01
2.6890e-01 3.9226e-01 9.4538e-01
3.3199e-01 1.5249e-01 6.9809e-01
8.5401e-01 3.8546e-01 1.0726e+00
4.8252e-01 5.0767e-01 2.8461e-01
5.3045e-01 7.1140e-02 1.1218e+00
3.6230e-01 7.8584e-01 4.7196e-01
3.7486e-01 5.6399e-01 4.5640e-01
nan nan nan
2.6727e-01 3.8507e-01 5.0528e-01
4.1900e-01 7.3125e-01 8.1450e-01
6.4108e-01 1.7128e-01 2.8772e-01
