# d_x d_y d_z
8.7904e-02 7.3589e-02 2.8517e-01
5.3647e-01 5.2068e-01 4.9745e-01
2.9910e-01 7.8020e-02 1.9357e-01
3.2928e-01 1.4039e-01 3.3983e-01
1.4530e-01 4.1946e-01 4.1499e-01
5.9733e-01 1.0054e-01 6.4763e-01
4.0694e-01 1.0906e-01 3.6473e-01
5.6782e-01 1.9641e-01 3.2973e-01
2.6723e-01 2.6590e-01 3.3644e-01
2.3544e-01 2.8998e-01 3.3782e-01
1.7383e-01 1.2337e-01 4.8939e-01
2.3227e-01 1.0830e-01 4.4003e-01
4.5746e-01 4.8923e-01 3.0191e-01
2.1329e-02 4.2691e-01 1.8939e-01
5.6832e-01 4.0855e-01 4.3694e-01
7.5565e-02 8.2516e-01 4.1242e-01
5.8953e-02 7.2269e-01 1.9177e-01
1.9881e-01 2.5306e-01 1.0870e-01
1.5922e-02 1.0588e-01 3.7354e-01
7.8453e-01 1.8218e-01 3.1084e-01
2.0580e-01 5.1070e-02 4.4986e-01
1.2471e-02 7.6592e-01 1.9914e-01
3.6534e-01 5.8511e-01 3.9500e-01
8.8429e-02 6.9214e-01 1.8631e-01
5.6457e-01 4.3386e-01 2.0358e-01
7.3715e-02 4.0301e-01 4.6151e-01
9.2448e-01 8.1591e-01 3.7084e-01
9.2661e-02 2.2672e-01 3.1667e-01
nan nan nan
nan nan nan
2.1645e-01 5.2084e-01 5.2571e-01
5.0358e-01 3.0985e-01 3.4079e-01
4.2224e-01 2.9653e-01 4.3193e-01
9.1824e-02 3.4754e-01 1.3569e-01
5.7711e-01 1.3295e-01 4.4301e-01
5.1093e-01 4.8702e-01 2.3158e-01
3.6996e-01 4.7122e-01 3.4953e-01
5.8258e-01 9.3536e-02 3.5514e-01
2.6856e-01 4.6413e-01 4.9406e-01
8.2112e-01 1.0824e-01 1.2649e-01
5.6156e-01 3.7546e-01 2.0373e-01
3.3403e-01 3.0079e-01 2.9675e-01
6.3973e-01 1.9425e-01 2.3167e-01
1.5041e-02 3.8228e-01 5.8685e-01
3.0601e-02 4.8774e-01 3.7907e-01
4.3761e-01 2.4880e-01 4.2143e-01
1.1601e-01 5.1142e-01 4.4900e-01
1.8090e-01 6.8141e-01 4.0535e-01
6.0774e-01 3.8667e-01 4.0913e-01
1.2891e-01 5.0889e-01 4.1266e-01
2.8914e-01 6.4285e-01 3.8718e-01
1.0546e-01 2.7300e-01 3.0935e-01
1.0735e-01 5.3672e-02 6.0538e-02
3.8849e-01 4.7487e-01 5.0575e-01
7.8402e-01 7.9552e-02 4.4676e-01
2.7413e-01 5.7890e-01 2.0425e-01
3.8764e-01 1.9773e-01 2.6806e-01
6.4813e-01 2.3000e-01 4.9966e-01
1.7085e-01 4.1244e-01 3.6380e-01
8.7282e-01 2.9813e-01 4.6678e-01
3.0598e-01 9.2912e-04 4.0691e-01
7.2382e-02 1.0864e-01 4.5084e-01
2.9664e-01 6.9718e-01 4.7752e-01
4.2742e-01 1.2035e-01 4.9354e-01
2.4995e-01 4.7488e-01 2.0575e-01
4.7197e-01 7.1759e-01 5.6061e-01
5.6964e-01 6.2889e-01 2.4251e-01
2.8374e-01 1.5778e-01 3.7570e-01
3.2857e-01 8.6023e-01 2.2214e-01
1.7860e-01 6.2730e-02 5.0489e-01
4.4505e-02 3.3272e-01 4.3124e-01
1.2668e-01 6.7566e-01 5.1724e-01
5.2129e-01 1.5924e-02 3.3671e-01
6.4470e-01 5.1528e-02 1.6415e-01
5.1067e-01 6.6469e-02 3.4178e-01
8.8740e-01 3.9654e-01 4.1543e-01
7.5324e-01 2.5743e-01 5.5007e-01
5.3378e-01 3.3945e-01 3.1006e-01
7.6829e-01 1.9509e-01 4.6424e-01
4.6760e-01 1.8078e-01 1.4284e-01
1.2937e-01 4.6139e-03 4.9333e-01
5.3885e-01 6.7298e-01 2.6573e-01
2.5999e-01 9.6694e-02 4.3736e-01
5.6915e-01 1.2709e-01 1.5704e-01
4.2315e-02 5.0677e-01 4.2088e-01
6.2597e-01 2.2075e-01 3.7378e-01
4.8910e-01 8.3760e-02 5.0164e-01
9.4866e-01 2.9924e-01 5.5673e-01
2.3625e-01 2.8262e-01 3.6344e-01
2.0082e-01 3.2870e-01 3.0545e-01
3.0659e-01 5.1793e-03 1.9898e-01
1.8694e-01 1.9093e-01 3.3156e-01
5.0149e-01 4.3235e-01 5.8042e-01
1.0318e-01 5.4511e-01 4.7546e-01
