# Rg 		Lx 	Ly 	Lz
1.6458e+02 2.9989e+02 2.2461e+02 1.3982e+02
1.6262e+02 2.9958e+02 2.1365e+02 1.3556e+02
1.6246e+02 2.9985e+02 2.1592e+02 1.4377e+02
1.6220e+02 2.9966e+02 2.1092e+02 1.4828e+02
1.6326e+02 2.9987e+02 2.1518e+02 1.4131e+02
1.6619e+02 2.9943e+02 2.1203e+02 1.3497e+02
1.6914e+02 2.9996e+02 2.1040e+02 1.3983e+02
1.6911e+02 2.9992e+02 2.2652e+02 1.4134e+02
1.7509e+02 2.9988e+02 2.3891e+02 1.3778e+02
1.7418e+02 2.9992e+02 2.2679e+02 1.3020e+02
1.7597e+02 2.9962e+02 2.4670e+02 1.3599e+02
1.7705e+02 2.9986e+02 2.4206e+02 1.4230e+02
1.7586e+02 2.9987e+02 2.2264e+02 1.2693e+02
1.7772e+02 2.9981e+02 2.7248e+02 1.1975e+02
1.7722e+02 2.9982e+02 2.3523e+02 1.4533e+02
1.8089e+02 2.9997e+02 2.4394e+02 1.3004e+02
1.8070e+02 2.9992e+02 2.3439e+02 1.4134e+02
1.7634e+02 2.9986e+02 2.0617e+02 1.3635e+02
1.7542e+02 2.9979e+02 2.3078e+02 1.5900e+02
1.7475e+02 2.9966e+02 2.0159e+02 1.3906e+02
