# CS 	Freq 	FoTM
1.0000e+00 7.8909e-01 2.1700e-02
2.0000e+00 1.0909e-01 6.0000e-03
3.0000e+00 1.8182e-02 1.5000e-03
4.0000e+00 3.6364e-03 4.0000e-04
6.0000e+00 3.6364e-03 6.0000e-04
7.0000e+00 3.6364e-03 7.0000e-04
4.7500e+02 3.6364e-03 4.7500e-02
4.7600e+02 3.6364e-03 4.7600e-02
4.8100e+02 7.2727e-03 9.6200e-02
4.8300e+02 1.4545e-02 1.9320e-01
4.8400e+02 3.6364e-03 4.8400e-02
4.8500e+02 7.2727e-03 9.7000e-02
4.8600e+02 1.0909e-02 1.4580e-01
4.8700e+02 7.2727e-03 9.7400e-02
4.8900e+02 3.6364e-03 4.8900e-02
4.9000e+02 7.2727e-03 9.8000e-02
4.9100e+02 3.6364e-03 4.9100e-02
